,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",42.1,8,19,0.84,0,3,90,32,156,.795,38,11,16
1,Aston Villa,38,"3,420",39.5,12,17,0.89,0,2,90,34,163,.791,38,10,15
2,Blackburn Rovers,38,"3,420",28.9,14,9,1.13,0,2,90,43,183,.765,38,15,11
3,Chelsea,36,"3,510",25.0,11,16,1.44,3,4,90,56,202,.723,39,10,9
4,Coventry City,38,"3,420",23.7,15,9,1.42,0,1,90,54,216,.750,38,14,9
5,Derby County,38,"3,442",21.1,13,11,1.44,1,3,88,55,199,.724,39,14,8
6,Everton,38,"3,485",26.3,16,10,1.47,1,2,89,57,198,.712,39,12,10
7,Leeds United,38,"3,420",52.6,14,11,1.00,0,2,90,38,181,.790,38,13,20
8,Leicester City,38,"3,420",23.7,15,12,1.42,0,2,90,54,203,.734,38,11,9
9,Liverpool,38,"3,420",31.6,8,19,0.97,0,1,90,37,198,.813,38,11,12
10,Manchester United,38,"3,420",39.5,5,21,1.16,0,2,90,44,175,.749,38,12,15
11,Middlesbrough,38,"3,460",15.8,16,10,1.56,1,4,89,60,225,.733,39,12,6
12,Newcastle United,38,"3,420",31.6,8,19,1.05,0,2,90,40,188,.787,38,11,12
13,Nottingham Forest,42,"3,780",21.4,17,6,1.60,0,4,90,67,225,.702,42,19,9
14,Sheffield Wednesday,38,"3,420",26.3,9,14,1.34,0,1,90,51,216,.764,38,15,10
15,Southampton,39,"3,584",28.2,17,11,1.43,1,4,90,57,218,.739,40,12,11
16,Sunderland,38,"3,488",28.9,18,10,1.37,1,2,89,53,212,.750,39,10,11
17,Tottenham Hotspur,38,"3,510",34.2,18,13,1.31,1,2,90,51,214,.762,39,7,13
18,West Ham United,38,"3,465",26.3,16,10,1.25,1,3,89,48,211,.773,39,12,10
19,Wimbledon,38,"3,480",28.9,12,15,1.19,1,2,89,46,212,.783,39,11,11
