,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Tottenham Hotspur,0,GK,0.00,0,0.00,"3,420",0.00,27,0.03,0.00,1,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Ian Walker
1,0,Leeds United,0,GK,0.00,0,0.00,"3,420",0.00,32,0.05,0.00,2,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Nigel Martyn
2,2,Bradford City,10,DF,0.26,0,0.08,"3,420",0.05,28,0.18,1.39,7,0.05,90,53,38,1,eng ENG,0,0.08,0,0,38,David Wetherall
3,0,Watford,5,MF,0.13,0,0.00,"3,413",0.00,33,0.03,1.27,1,0.00,90,48,38,0,eng ENG,0,0.00,0,0,38,Carlton Palmer
4,2,Liverpool,5,DF,0.13,0,0.11,"3,376",0.05,25,0.05,0.88,2,0.05,89,33,38,2,fi FIN,0,0.11,0,0,38,Sami Hyypiä
5,11,Coventry City,27,MF,0.72,0,0.32,"3,365",0.19,34,0.05,0.62,2,0.29,89,23,38,5,sco SCO,4,0.43,0,4,38,Gary McAllister
6,0,Wimbledon,0,GK,0.00,0,0.00,"3,330",0.00,29,0.03,0.00,1,0.00,90,0,37,0,sco SCO,0,0.00,0,0,37,Neil Sullivan
7,0,Sunderland,0,GK,0.00,0,0.00,"3,330",0.00,23,0.03,0.00,1,0.00,90,0,37,0,dk DEN,0,0.00,0,0,37,Thomas Sørensen
8,0,Chelsea,0,GK,0.00,0,0.00,"3,330",0.00,32,0.00,0.00,0,0.00,90,0,37,0,nl NED,0,0.00,0,0,37,Ed de Goey
9,6,Leicester City,20,DF,0.54,0,0.24,"3,330",0.16,30,0.05,1.49,2,0.16,90,55,37,3,sco SCO,0,0.24,0,0,37,Matt Elliott
10,0,Middlesbrough,0,GK,0.00,0,0.00,"3,330",0.00,26,0.03,0.00,1,0.00,90,0,37,0,au AUS,0,0.00,0,0,37,Mark Schwarzer
