,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,6,3.50,2.08,539,54,1.92,25,2.18,14.18,79,38,7.68,77,292,6,3.34,7
1,Aston Villa,2,2.16,1.16,485,38,1.11,21,1.08,12.76,44,38,5.32,41,202,0,2.11,2
2,Blackburn Rovers,1,2.45,1.42,533,39,1.39,24,1.58,14.03,54,38,6.66,56,253,4,2.42,1
3,Bolton Wanderers,0,1.76,1.11,506,25,1.11,28,1.66,13.32,42,38,5.39,57,205,6,1.76,1
4,Charlton Athletic,0,1.61,0.95,500,25,0.95,25,1.63,13.16,36,38,5.58,59,212,3,1.61,1
5,Chelsea,3,2.84,1.71,438,43,1.63,24,1.71,11.53,65,38,6.24,63,237,2,2.76,3
6,Derby County,2,1.47,0.87,498,23,0.82,29,1.92,13.11,33,38,4.29,71,163,2,1.42,5
7,Everton,3,1.97,1.16,584,31,1.08,27,1.61,15.37,44,38,5.61,57,213,4,1.89,3
8,Fulham,1,1.66,0.92,452,28,0.89,23,1.42,11.89,35,38,4.74,53,180,1,1.63,3
9,Ipswich Town,1,1.92,1.08,471,32,1.05,25,1.16,12.39,41,38,6.08,43,231,1,1.89,3
10,Leeds United,1,2.63,1.42,583,46,1.39,21,2.08,15.34,54,38,7.03,74,267,5,2.61,2
11,Leicester City,2,1.32,0.76,558,21,0.71,28,2.05,14.68,29,38,4.39,75,167,3,1.26,4
12,Liverpool,1,2.97,1.66,439,51,1.61,24,1.16,11.55,63,38,6.89,42,262,3,2.95,3
13,Manchester United,5,3.61,2.13,426,56,2.00,26,1.42,11.21,81,38,7.61,53,289,1,3.47,5
14,Middlesbrough,2,1.42,0.87,470,21,0.82,29,1.55,12.37,33,38,3.74,51,142,8,1.37,3
15,Newcastle United,5,3.29,1.89,497,53,1.76,19,1.24,13.08,72,38,6.97,45,265,2,3.16,7
16,Southampton,4,1.89,1.11,466,30,1.00,27,0.95,12.26,42,38,4.42,33,168,3,1.79,4
17,Sunderland,1,1.26,0.76,509,19,0.74,25,1.76,13.39,29,38,5.00,66,190,1,1.24,3
18,Tottenham Hotspur,3,2.13,1.26,465,33,1.18,24,1.58,12.24,48,38,5.58,56,212,4,2.05,3
19,West Ham United,4,2.16,1.26,497,34,1.16,27,1.84,13.08,48,38,5.53,67,210,3,2.05,5
