,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,2.84,66,479,2.95,275,46,27,55,1.74,2,7.24,12.61,1.50,4,38,1.63,7
1,Aston Villa,1.97,41,522,2.00,189,35,25,63,1.08,1,4.97,13.74,1.68,1,38,1.05,4
2,Birmingham City,1.13,26,484,1.18,171,19,27,53,0.68,7,4.50,12.74,1.58,2,38,0.63,2
3,Blackburn Rovers,1.95,49,568,2.05,181,29,23,78,1.29,6,4.76,14.95,2.21,4,38,1.18,4
4,Bolton Wanderers,2.05,47,506,2.11,204,33,24,64,1.24,3,5.37,13.32,1.76,2,38,1.18,4
5,Charlton Athletic,1.74,41,500,1.84,189,29,27,44,1.08,2,4.97,13.16,1.21,4,38,0.97,4
6,Chelsea,3.08,71,435,3.18,279,50,24,64,1.87,5,7.34,11.45,1.82,4,38,1.76,4
7,Everton,1.47,32,538,1.50,206,25,23,65,0.84,7,5.42,14.16,1.89,1,38,0.82,3
8,Fulham,2.05,47,467,2.16,180,35,26,65,1.24,2,4.74,12.29,1.76,4,38,1.13,4
9,Liverpool,2.42,54,446,2.53,283,42,22,50,1.42,5,7.45,11.74,1.45,4,38,1.32,5
10,Manchester City,1.89,42,513,1.92,206,31,25,69,1.11,4,5.42,13.50,1.92,1,38,1.08,2
11,Manchester United,3.05,68,483,3.11,286,50,23,61,1.79,2,7.53,12.71,1.66,2,38,1.74,3
12,Middlesbrough,2.03,48,490,2.16,211,34,30,53,1.26,3,5.55,12.89,1.47,5,38,1.13,5
13,Newcastle United,1.87,45,593,2.00,209,31,22,63,1.18,6,5.50,15.61,1.82,5,38,1.05,5
14,Portsmouth,1.47,36,499,1.53,227,22,28,55,0.95,1,5.97,13.13,1.47,2,38,0.89,2
15,Sunderland,0.97,24,536,1.03,180,15,27,69,0.63,4,4.74,14.11,1.92,2,38,0.58,2
16,Tottenham Hotspur,2.26,52,455,2.37,231,38,23,50,1.37,6,6.08,11.97,1.47,4,38,1.26,6
17,West Bromwich Albion,1.24,31,466,1.26,155,18,26,47,0.82,2,4.08,12.26,1.29,1,38,0.76,2
18,West Ham United,1.95,48,478,2.03,164,29,26,50,1.26,2,4.32,12.58,1.37,3,38,1.18,5
19,Wigan Athletic,1.92,44,497,1.95,211,30,25,55,1.16,4,5.55,13.08,1.55,1,38,1.13,1
