,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",35,12,0,38,38,0.92,90,177,31.6,3,19,8,.802,11
1,Aston Villa,"3,420",41,13,2,38,40,1.08,86,207,34.2,3,11,10,.802,17
2,Blackburn Rovers,"3,420",54,8,1,38,39,1.42,88,277,21.1,2,15,16,.805,7
3,Bolton Wanderers,"3,420",52,12,0,38,38,1.37,90,216,31.6,1,16,14,.759,8
4,Charlton Athletic,"3,420",60,11,0,38,38,1.58,90,247,28.9,3,8,20,.757,10
5,Chelsea,"3,335",24,22,0,38,38,0.65,88,175,57.9,3,24,3,.863,11
6,Everton,"3,420",36,14,0,38,38,0.95,90,221,36.8,3,15,10,.837,13
7,Fulham,"3,420",60,7,1,38,39,1.58,88,237,18.4,2,8,15,.747,15
8,Liverpool,"3,420",27,20,0,38,38,0.71,90,173,52.6,3,20,10,.844,8
9,Manchester City,"3,420",44,14,2,38,40,1.16,86,199,36.8,3,11,18,.779,9
10,Manchester United,"3,420",27,16,0,38,38,0.71,90,176,42.1,2,28,5,.847,5
11,Middlesbrough,"3,420",49,9,0,38,38,1.29,90,234,23.7,2,12,16,.791,10
12,Newcastle United,"3,416",47,7,3,38,41,1.24,83,224,18.4,3,11,17,.790,10
13,Portsmouth,"3,420",42,12,0,38,38,1.11,90,214,31.6,1,13,13,.804,12
14,Reading,"3,420",47,13,2,38,40,1.24,86,223,34.2,2,16,15,.789,7
15,Sheffield United,"3,392",55,9,0,38,38,1.46,89,235,23.7,3,10,20,.766,8
16,Tottenham Hotspur,"3,420",54,6,0,38,38,1.42,90,196,15.8,1,17,12,.724,9
17,Watford,"3,419",59,9,1,38,39,1.55,88,272,23.7,2,5,20,.783,13
18,West Ham United,"3,420",59,9,0,38,38,1.55,90,239,23.7,2,12,21,.753,5
19,Wigan Athletic,"3,420",60,10,1,38,39,1.58,88,236,26.3,3,10,20,.746,8
