,squad,goals_assists_pens_perG,goals,fouls,goals_assists_perG,shots_on_target,assists,players_used,cards_yellow,goals_perG,cards_red,shots_on_target_perG,fouls_perG,cards_perG,pens_made,games,goals_pens_perG,pens_att
0,Arsenal,3.29,73,389,3.42,250,57,27,55,1.92,3,6.58,10.24,1.53,5,38,1.79,6
1,Aston Villa,2.68,66,523,2.84,200,42,22,56,1.74,4,5.26,13.76,1.58,6,38,1.58,7
2,Birmingham City,1.55,44,502,1.71,178,21,28,69,1.16,3,4.68,13.21,1.89,6,38,1.00,6
3,Blackburn Rovers,2.03,50,552,2.16,219,32,22,74,1.32,6,5.76,14.53,2.11,5,38,1.18,6
4,Bolton Wanderers,1.13,34,499,1.47,162,22,30,75,0.89,0,4.26,13.13,1.97,0,38,0.63,1
5,Chelsea,2.71,64,431,3.05,207,52,26,65,1.68,6,5.45,11.34,1.87,7,38,1.47,7
6,Derby County,0.82,19,515,0.82,141,12,36,62,0.50,1,3.71,13.55,1.66,0,38,0.50,0
7,Everton,2.16,53,474,2.18,190,30,23,40,1.39,3,5.00,12.47,1.13,1,38,1.37,1
8,Fulham,1.37,37,477,1.42,174,17,32,59,0.97,6,4.58,12.55,1.71,2,38,0.92,3
9,Liverpool,2.68,64,440,2.82,266,43,25,46,1.68,1,7.00,11.58,1.24,5,38,1.55,5
10,Manchester City,1.84,42,395,1.89,169,30,28,51,1.11,4,4.45,10.39,1.45,2,38,1.05,2
11,Manchester United,3.26,78,406,3.42,301,52,25,51,2.05,2,7.92,10.68,1.39,6,38,1.89,8
12,Middlesbrough,1.79,43,516,1.84,181,27,29,85,1.13,2,4.76,13.58,2.29,2,38,1.08,2
13,Newcastle United,1.74,43,470,1.84,174,27,26,59,1.13,1,4.58,12.37,1.58,4,38,1.03,4
14,Portsmouth,1.95,46,528,2.05,185,32,28,56,1.21,3,4.87,13.89,1.55,4,38,1.11,7
15,Reading,1.71,41,451,1.76,183,26,26,61,1.08,5,4.82,11.87,1.74,2,38,1.03,4
16,Sunderland,1.47,36,502,1.50,153,21,31,66,0.95,3,4.03,13.21,1.82,1,38,0.92,2
17,Tottenham Hotspur,2.53,65,385,2.63,236,35,30,51,1.71,1,6.21,10.13,1.37,4,38,1.61,6
18,West Ham United,1.74,39,517,1.79,179,29,28,65,1.03,2,4.71,13.61,1.76,2,38,0.97,2
19,Wigan Athletic,1.26,33,502,1.37,184,19,27,60,0.87,4,4.84,13.21,1.68,4,38,0.76,5
