,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,5,2.97,1.71,449,48,1.58,28,1.63,11.82,65,38,6.08,59,231,3,2.84,5
1,Aston Villa,4,2.18,1.26,462,35,1.16,21,1.45,12.16,48,38,4.74,53,180,2,2.08,5
2,Blackburn Rovers,4,1.79,1.05,546,28,0.95,28,2.11,14.37,40,38,4.03,76,153,4,1.68,7
3,Bolton Wanderers,0,1.79,1.05,527,28,1.05,24,1.63,13.87,40,38,4.87,61,185,1,1.79,1
4,Chelsea,2,2.89,1.71,438,45,1.66,29,1.39,11.53,65,38,7.50,50,285,3,2.84,2
5,Everton,4,2.42,1.42,512,38,1.32,25,1.32,13.47,54,38,5.26,49,200,1,2.32,5
6,Fulham,5,1.66,1.03,446,24,0.89,25,1.08,11.74,39,38,4.55,40,173,1,1.53,5
7,Hull City,3,1.37,0.92,568,17,0.84,29,1.95,14.95,35,38,4.21,71,160,3,1.29,3
8,Liverpool,5,3.24,1.92,447,50,1.79,23,1.32,11.76,73,38,7.08,50,269,0,3.11,6
9,Manchester City,6,2.39,1.47,492,35,1.32,34,1.42,12.95,56,38,5.61,50,213,4,2.24,7
10,Manchester United,4,3.13,1.79,425,51,1.68,33,1.82,11.18,68,38,7.16,64,272,5,3.03,4
11,Middlesbrough,1,1.13,0.68,450,17,0.66,28,1.50,11.84,26,38,4.03,54,153,3,1.11,3
12,Newcastle United,4,1.63,1.03,438,23,0.92,29,1.76,11.53,39,38,3.92,59,149,8,1.53,5
13,Portsmouth,2,1.61,0.95,460,25,0.89,29,1.74,12.11,36,38,4.29,61,163,5,1.55,3
14,Stoke City,5,1.55,0.95,515,23,0.82,29,2.08,13.55,36,38,3.16,74,120,5,1.42,6
15,Sunderland,1,1.34,0.84,399,19,0.82,30,1.84,10.50,32,38,4.32,69,164,1,1.32,1
16,Tottenham Hotspur,3,1.92,1.13,460,30,1.05,29,1.61,12.11,43,38,5.50,56,209,5,1.84,4
17,West Bromwich Albion,3,1.50,0.89,466,23,0.82,30,1.76,12.26,34,38,4.79,66,182,1,1.42,5
18,West Ham United,1,1.74,1.08,500,25,1.05,30,1.89,13.16,41,38,4.74,68,180,4,1.71,3
19,Wigan Athletic,5,1.26,0.87,465,15,0.74,29,1.71,12.24,33,38,4.82,61,183,4,1.13,5
