,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Chelsea,0,GK,0.00,0,0.00,"3,420",0.00,28,0.00,0.00,0,0.00,90,0,38,0,cz CZE,0,0.00,0,0,38,Petr Čech
1,5,Everton,8,DF,0.21,0,0.34,"3,420",0.05,25,0.11,0.74,4,0.13,90,28,38,11,eng ENG,3,0.42,0,3,38,Leighton Baines
2,0,Aston Villa,0,GK,0.00,0,0.00,"3,420",0.00,39,0.05,0.00,2,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Brad Friedel
3,0,Everton,0,GK,0.00,0,0.00,"3,420",0.00,31,0.08,0.00,3,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Tim Howard
4,0,Manchester City,0,GK,0.00,0,0.00,"3,420",0.00,23,0.03,0.00,1,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Joe Hart
5,2,Liverpool,2,DF,0.05,0,0.05,"3,420",0.05,25,0.21,1.13,8,0.05,90,43,38,0,sk SVK,0,0.05,0,0,38,Martin Škrtel
6,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,27,0.11,0.00,4,0.00,90,0,38,0,es ESP,0,0.00,0,0,38,Pepe Reina
7,2,Everton,2,DF,0.05,0,0.05,"3,409",0.05,32,0.03,0.40,1,0.05,90,15,38,0,fr FRA,0,0.05,0,0,38,Sylvain Distin
8,1,Fulham,3,DF,0.08,0,0.03,"3,404",0.03,30,0.00,0.48,0,0.03,90,18,38,0,nir NIR,0,0.03,0,0,38,Aaron Hughes
9,7,Aston Villa,26,MF,0.69,0,0.37,"3,385",0.19,26,0.00,0.13,0,0.19,89,5,38,7,eng ENG,0,0.37,0,0,38,Stewart Downing
10,0,Chelsea,7,DF,0.19,0,0.11,"3,385",0.00,29,0.11,0.80,4,0.00,89,30,38,4,eng ENG,0,0.11,0,0,38,Ashley Cole
11,8,Bolton Wanderers,28,FW,0.75,0,0.24,"3,382",0.11,33,0.27,3.09,10,0.21,89,116,38,5,eng ENG,5,0.35,0,4,38,Kevin Davies
12,2,Birmingham City,7,DF,0.19,0,0.08,"3,375",0.05,27,0.13,0.75,5,0.05,89,28,38,1,eng ENG,0,0.08,0,0,38,Roger Johnson
13,0,Birmingham City,1,DF,0.03,0,0.00,"3,372",0.00,33,0.11,0.83,4,0.00,89,31,38,0,ie IRL,0,0.00,0,0,38,Stephen Carr
14,0,Birmingham City,0,GK,0.00,0,0.00,"3,369",0.00,27,0.08,0.00,3,0.00,89,0,38,0,eng ENG,0,0.00,0,0,38,Ben Foster
15,6,Fulham,10,DF,0.27,0,0.19,"3,330",0.16,29,0.16,1.03,6,0.16,90,38,37,1,no NOR,0,0.19,0,0,37,Brede Hangeland
16,0,West Ham United,0,GK,0.00,0,0.00,"3,330",0.00,30,0.00,0.00,0,0.00,90,0,37,0,eng ENG,0,0.00,0,0,37,Robert Green
17,0,Manchester City,4,DF,0.11,0,0.03,"3,330",0.00,24,0.16,1.19,6,0.00,90,44,37,1,be BEL,0,0.03,0,0,37,Vincent Kompany
18,1,Blackpool,7,DF,0.20,2,0.11,"3,215",0.03,28,0.20,1.09,6,0.03,85,39,36,3,eng ENG,0,0.11,1,0,38,Ian Evatt
19,3,Bolton Wanderers,12,DF,0.34,0,0.08,"3,214",0.08,24,0.22,1.06,7,0.08,89,38,36,0,eng ENG,0,0.08,1,0,36,Gary Cahill
20,3,Sunderland,15,MF,0.42,0,0.17,"3,211",0.08,20,0.06,0.81,2,0.08,87,29,37,3,eng ENG,0,0.17,0,0,37,Jordan Henderson
21,1,Stoke City,9,DF,0.25,0,0.03,"3,198",0.03,22,0.28,1.21,8,0.03,89,43,36,0,eng ENG,0,0.03,2,0,36,Ryan Shawcross
22,0,Blackburn Rovers,0,GK,0.00,0,0.00,"3,195",0.00,30,0.00,0.00,0,0.00,89,0,36,0,eng ENG,0,0.00,0,0,36,Paul Robinson
23,4,Birmingham City,6,DF,0.17,0,0.11,"3,174",0.11,26,0.20,0.85,6,0.11,88,30,36,0,eng ENG,0,0.11,1,0,36,Liam Ridgewell
24,0,Birmingham City,0,DF,0.00,0,0.00,"3,150",0.00,30,0.03,0.91,1,0.00,90,32,35,0,ie IRL,0,0.00,0,0,35,Barry Ferguson
25,0,Bolton Wanderers,0,DF,0.00,0,0.03,"3,150",0.00,31,0.20,0.97,7,0.00,90,34,35,1,eng ENG,0,0.03,0,0,35,Paul Robinson
26,2,Blackpool,6,MF,0.17,0,0.11,"3,150",0.06,27,0.17,0.97,6,0.06,90,34,35,2,wal WAL,0,0.11,0,0,35,David Vaughan
27,0,Newcastle United,4,DF,0.12,0,0.03,"3,123",0.00,24,0.14,0.43,5,0.00,87,15,36,1,es ESP,0,0.03,0,0,36,José Enrique
