,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",34.2,10,21,1.29,0,1,90,49,135,.637,38,7,13
1,Aston Villa,38,"3,420",23.7,14,7,1.39,1,2,88,53,185,.714,39,17,9
2,Blackburn Rovers,38,"3,420",7.9,23,8,2.05,0,3,90,78,190,.589,38,7,3
3,Bolton Wanderers,38,"3,420",7.9,22,10,2.03,0,2,90,77,233,.670,38,6,3
4,Chelsea,38,"3,420",26.3,10,19,1.21,0,3,90,46,161,.714,38,10,10
5,Everton,38,"3,420",31.6,12,15,1.05,0,1,90,40,138,.710,38,11,12
6,Fulham,38,"3,420",28.9,14,14,1.34,0,2,90,51,200,.745,38,10,11
7,Liverpool,38,"3,412",31.6,14,14,1.06,1,3,87,40,137,.708,39,10,12
8,Manchester City,38,"3,420",44.7,5,28,0.76,0,1,90,29,133,.782,38,5,17
9,Manchester United,38,"3,420",52.6,5,28,0.87,0,3,90,33,159,.792,38,5,20
10,Newcastle United,38,"3,420",39.5,11,19,1.34,0,1,90,51,176,.710,38,8,15
11,Norwich City,38,"3,420",7.9,15,12,1.74,1,2,88,66,228,.711,39,11,3
12,Queens Park Rangers,38,"3,420",18.4,21,9,1.74,0,2,90,66,207,.681,38,7,7
13,Stoke City,38,"3,420",23.7,15,11,1.39,1,2,88,53,177,.701,39,12,9
14,Sunderland,38,"3,420",31.6,15,11,1.21,1,3,88,46,170,.729,39,12,12
15,Swansea City,38,"3,420",36.8,15,12,1.34,0,2,90,51,198,.742,38,11,14
16,Tottenham Hotspur,38,"3,420",36.8,9,20,1.08,0,1,90,41,163,.748,38,9,14
17,West Bromwich Albion,38,"3,420",26.3,17,13,1.37,0,2,90,52,171,.696,38,8,10
18,Wigan Athletic,38,"3,420",21.1,17,11,1.63,0,1,90,62,200,.690,38,10,8
19,Wolverhampton Wanderers,38,"3,420",10.5,23,5,2.16,1,3,88,82,271,.697,39,10,4
