,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,6,90,.671,be BEL,Simon Mignolet,GK,25,26.3,26,1.32,0,50,152,38,10,"3,420",6,Liverpool
1,38,20,90,.649,us USA,Brad Guzan,GK,28,23.7,10,1.61,0,61,174,38,9,"3,420",8,Aston Villa
2,38,21,90,.672,eng ENG,John Ruddy,GK,26,31.6,8,1.63,0,62,189,38,12,"3,420",9,Norwich City
3,37,7,90,.721,pl POL,Wojciech Szczęsny,GK,23,43.2,23,1.11,0,41,147,37,16,"3,330",7,Arsenal
4,37,22,90,.662,sco SCO,David Marshall,GK,28,18.9,7,1.97,0,73,216,37,7,"3,330",8,Cardiff City
5,37,12,90,.691,es ESP,David de Gea,GK,22,32.4,18,1.16,0,43,139,37,12,"3,330",7,Manchester United
6,37,18,90,.720,ar ARG,Julián Speroni,GK,34,32.4,13,1.24,0,46,164,37,12,"3,330",6,Crystal Palace
7,37,10,90,.662,fr FRA,Hugo Lloris,GK,26,37.8,21,1.35,0,50,148,37,14,"3,330",6,Tottenham Hotspur
8,37,8,88,.738,us USA,Tim Howard,GK,34,40.5,20,1.02,0,37,141,37,15,"3,263",8,Everton
9,36,17,90,.664,nl NED,Tim Krul,GK,25,27.8,15,1.42,0,51,152,36,10,"3,240",4,Newcastle United
10,34,5,90,.767,cz CZE,Petr Čech,GK,31,47.1,23,0.71,0,24,103,34,16,"3,060",6,Chelsea
11,32,10,90,.735,ba BIH,Asmir Begović,GK,26,28.1,12,1.13,0,36,136,32,9,"2,880",10,Stoke City
12,31,5,90,.706,eng ENG,Joe Hart,GK,26,41.9,22,0.97,0,30,102,31,13,"2,790",4,Manchester City
13,29,6,89,.717,pl POL,Artur Boruc,GK,33,48.3,14,0.91,0,26,92,29,14,"2,577",9,Southampton
14,28,13,89,.774,it ITA,Vito Mannone,GK,25,39.3,9,1.33,1,38,168,29,11,"2,568",7,Sunderland
15,26,11,90,.686,nl NED,Michel Vorm,GK,29,26.9,9,1.23,0,32,102,26,7,"2,340",6,Swansea City
16,26,14,86,.699,sco SCO,Allan McGregor,GK,31,26.9,7,1.25,0,31,103,26,7,"2,228",5,Hull City
17,24,10,89,.658,eng ENG,Ben Foster,GK,30,12.5,4,1.59,0,38,111,24,3,"2,147",10,West Bromwich Albion
18,20,11,90,.759,es ESP,Adrián,GK,26,30.0,8,1.35,0,27,112,20,6,"1,800",1,West Ham United
19,19,11,83,.638,eng ENG,David Stockdale,GK,27,15.8,7,2.17,2,42,116,21,3,"1,740",3,Fulham
20,19,13,88,.656,nl NED,Maarten Stekelenburg,GK,30,5.3,2,2.30,0,43,125,19,1,"1,680",2,Fulham
21,18,9,90,.704,fi FIN,Jussi Jääskeläinen,GK,38,44.4,3,1.33,0,24,81,18,8,"1,620",6,West Ham United
22,14,6,90,.661,wal WAL,Boaz Myhill,GK,30,21.4,3,1.50,0,21,62,14,3,"1,260",5,West Bromwich Albion
23,11,6,85,.648,eng ENG,Lee Harper,GK,41,27.3,3,1.55,2,19,54,13,3,"1,101",2,Hull City
24,12,7,90,.585,de GER,Gerhard Tremmel,GK,34,8.3,2,1.83,0,22,53,12,1,"1,080",3,Swansea City
25,10,7,85,.551,ie IRL,Keiren Westwood,GK,28,0.0,1,2.32,0,22,49,10,0,852,1,Sunderland
26,7,4,83,.483,ar ARG,Paulo Gazzaniga,GK,21,14.3,1,2.04,1,15,29,8,1,663,2,Southampton
27,7,1,90,.708,ro ROU,Costel Pantilimon,GK,26,42.9,5,1.00,0,7,24,7,3,630,1,Manchester City
28,4,1,90,.833,au AUS,Mark Schwarzer,GK,40,50.0,2,0.75,0,3,18,4,2,360,1,Chelsea
29,4,3,79,.526,dk DEN,Thomas Sørensen,GK,37,0.0,0,2.57,0,9,19,4,0,315,0,Stoke City
30,2,1,75,.611,eng ENG,Jack Butland,GK,20,0.0,1,2.80,1,7,18,3,0,225,1,Stoke City
31,2,2,90,.545,eng ENG,Kelvin Davis,GK,36,0.0,0,2.50,0,5,11,2,0,180,0,Southampton
32,2,2,90,.556,ie IRL,Rob Elliot,GK,27,0.0,0,4.00,0,8,18,2,0,180,0,Newcastle United
33,1,0,79,.714,es ESP,Joel Robles,GK,23,0.0,1,1.15,1,2,7,2,0,157,1,Everton
34,1,1,90,.571,ch SUI,Eldin Jakupović,GK,28,0.0,0,3.00,0,3,7,1,0,90,0,Hull City
35,1,0,90,1.000,dk DEN,Anders Lindegaard,GK,29,100.0,1,0.00,0,0,4,1,1,90,0,Manchester United
36,1,1,90,.600,wal WAL,Wayne Hennessey,GK,26,0.0,0,2.00,0,2,5,1,0,90,0,Crystal Palace
37,1,1,90,.750,us USA,Brad Friedel,GK,42,0.0,0,1.00,0,1,4,1,0,90,0,Tottenham Hotspur
38,1,0,90,.750,eng ENG,Joe Lewis,GK,25,0.0,0,1.00,0,1,4,1,0,90,1,Cardiff City
39,0,0,13,1.000,eng ENG,Luke Daniels,GK,25,,0,0.00,1,0,1,1,0,13,0,West Bromwich Albion
