,squad,minutes,goals_against,clean_sheets,games_subs,games_starts,games,goals_against_per90,minutes_per_game,shots_on_target_against,clean_sheets_perc,keepers_used,wins,losses,save_perc,draws
0,Arsenal,"3,420",51,13,1,38,39,1.34,88,150,34.2,2,19,13,.660,6
1,Bournemouth,"3,420",61,6,0,38,38,1.61,90,171,15.8,1,11,16,.643,11
2,Brighton & Hove Albion,"3,420",54,10,0,38,38,1.42,90,181,26.3,1,9,16,.702,13
3,Burnley,"3,420",39,11,1,38,39,1.03,88,164,28.9,2,14,12,.762,12
4,Chelsea,"3,420",38,16,0,38,38,1.00,90,120,42.1,2,21,10,.683,7
5,Crystal Palace,"3,420",55,9,0,38,38,1.45,90,177,23.7,2,11,16,.689,11
6,Everton,"3,420",58,10,0,38,38,1.53,90,184,26.3,1,13,15,.685,10
7,Huddersfield Town,"3,420",57,10,0,38,38,1.50,90,165,26.3,1,9,19,.655,10
8,Leicester City,"3,420",60,9,1,38,39,1.58,88,161,23.7,3,12,15,.627,11
9,Liverpool,"3,420",38,17,0,38,38,1.00,90,106,44.7,2,21,5,.642,12
10,Manchester City,"3,420",27,17,1,38,39,0.71,88,85,44.7,2,32,2,.682,4
11,Manchester United,"3,420",28,19,0,38,38,0.74,90,148,50.0,2,25,7,.811,6
12,Newcastle United,"3,420",47,9,0,38,38,1.24,90,157,23.7,3,12,18,.701,8
13,Southampton,"3,420",56,8,0,38,38,1.47,90,167,21.1,2,7,16,.665,15
14,Stoke City,"3,420",68,7,0,38,38,1.79,90,219,18.4,2,7,19,.689,12
15,Swansea City,"3,420",56,9,0,38,38,1.47,90,191,23.7,1,8,21,.707,9
16,Tottenham Hotspur,"3,420",36,16,0,38,38,0.95,90,125,42.1,3,23,7,.712,8
17,Watford,"3,420",64,9,1,38,39,1.68,88,159,23.7,2,11,19,.597,8
18,West Bromwich Albion,"3,420",56,10,0,38,38,1.47,90,156,26.3,2,6,19,.641,13
19,West Ham United,"3,420",68,10,0,38,38,1.79,90,190,26.3,2,10,16,.642,12
