,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,2.26,1.29,,41,1.21,30,1.50,,54,42,4.79,59,201,4,2.19,4
1,Aston Villa,1,1.98,1.14,,39,1.02,23,1.31,,48,42,4.17,52,175,3,1.95,1
2,Blackburn Rovers,10,3.24,1.86,,58,1.62,19,1.26,,78,42,6.29,49,264,4,3.00,12
3,Chelsea,1,2.05,1.12,,39,1.10,23,1.45,,47,42,4.55,58,191,3,2.02,2
4,Coventry City,5,1.86,1.00,,36,0.88,27,1.55,,42,42,4.86,63,204,2,1.74,5
5,Crystal Palace,1,1.17,0.79,,22,0.62,22,1.21,,33,42,3.14,50,132,1,1.14,3
6,Everton,1,1.95,1.02,,39,1.00,24,1.43,,43,42,4.43,54,186,6,1.93,3
7,Ipswich Town,3,1.14,0.64,,21,0.57,27,0.93,,27,42,3.26,37,137,2,1.07,3
8,Leeds United,3,2.43,1.33,,46,1.26,20,1.36,,56,42,5.31,57,223,0,2.36,4
9,Leicester City,0,1.74,1.10,,27,1.10,28,1.57,,46,42,3.79,58,159,8,1.74,1
10,Liverpool,5,2.52,1.43,,46,1.24,20,0.90,,60,42,5.43,42,228,1,2.26,6
11,Manchester City,1,2.36,1.26,,46,1.24,26,1.29,,53,42,4.64,50,195,4,2.33,2
12,Manchester United,4,2.90,1.81,,58,1.43,23,1.45,,76,42,4.71,59,198,2,2.81,4
13,Newcastle United,4,2.57,1.57,,54,1.19,22,1.31,,66,42,4.10,51,172,4,2.48,5
14,Norwich City,2,1.38,0.74,,27,0.69,24,1.48,,31,42,3.45,61,145,1,1.33,3
15,Nottingham Forest,5,3.31,1.69,,68,1.57,20,1.40,,71,42,5.00,58,210,1,3.19,6
16,Queens Park Rangers,0,2.55,1.43,,47,1.43,22,1.60,,60,42,4.90,63,206,4,2.55,1
17,Sheffield Wednesday,1,1.67,1.14,,34,0.83,25,1.31,,48,42,3.76,52,158,3,1.64,2
18,Southampton,3,2.12,1.45,,36,1.19,24,1.52,,61,42,4.17,64,175,0,2.05,3
19,Tottenham Hotspur,2,2.64,1.48,,49,1.43,24,1.10,,62,42,4.74,44,199,2,2.60,3
20,West Ham United,5,1.81,1.05,,32,0.93,24,1.60,,44,42,4.38,63,184,4,1.69,5
21,Wimbledon,3,1.76,0.95,,34,0.88,23,1.45,,40,42,4.07,56,171,5,1.69,4
