,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",36.8,6,20,0.97,1,3,88,37,149,.752,39,12,14
1,Aston Villa,38,"3,420",34.2,10,17,1.26,1,2,88,48,186,.742,39,11,13
2,Blackburn Rovers,38,"3,420",26.3,17,10,1.58,1,2,88,60,177,.661,39,11,10
3,Bolton Wanderers,38,"3,420",18.4,19,11,1.39,0,1,90,53,213,.751,38,8,7
4,Chelsea,38,"3,420",57.9,5,25,0.63,0,3,90,24,144,.833,38,8,22
5,Everton,38,"3,420",44.7,9,17,0.97,0,1,90,37,186,.801,38,12,17
6,Fulham,38,"3,420",39.5,13,14,0.89,0,1,90,34,195,.826,38,11,15
7,Hull City,38,"3,420",15.8,19,8,1.68,0,2,90,64,212,.698,38,11,6
8,Liverpool,38,"3,420",52.6,2,25,0.71,0,1,90,27,122,.779,38,11,20
9,Manchester City,38,"3,420",26.3,18,15,1.32,1,3,88,50,192,.740,39,5,10
10,Manchester United,38,"3,420",63.2,4,28,0.63,1,3,88,24,138,.826,39,6,24
11,Middlesbrough,38,"3,420",18.4,20,7,1.50,0,2,90,57,216,.736,38,11,7
12,Newcastle United,38,"3,420",18.4,18,7,1.55,0,2,90,59,210,.719,38,13,7
13,Portsmouth,38,"3,420",21.1,17,10,1.50,0,2,90,57,212,.731,38,11,8
14,Stoke City,38,"3,420",31.6,17,12,1.45,3,2,83,55,191,.712,41,9,12
15,Sunderland,38,"3,420",23.7,20,9,1.42,0,2,90,54,168,.679,38,9,9
16,Tottenham Hotspur,38,"3,420",34.2,15,14,1.18,0,2,90,45,203,.778,38,9,13
17,West Bromwich Albion,38,"3,420",21.1,22,8,1.76,0,2,90,67,227,.705,38,8,8
18,West Ham United,38,"3,420",26.3,15,14,1.18,0,1,90,45,197,.772,38,9,10
19,Wigan Athletic,38,"3,420",34.2,17,12,1.18,1,3,88,45,134,.664,39,9,13
