,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
0,0,0.00,DF,25,0,Sylvain Distin,0.00,Portsmouth,0.00,90,38,0,0.05,0.03,0.00,38,2,0,fr FRA,0,"3,420",0.66,30,1,0
1,0,0.00,GK,0,0,Jussi Jääskeläinen,0.00,Bolton Wanderers,0.00,90,38,0,0.08,0.00,0.00,38,3,0,fi FIN,0,"3,420",0.00,33,0,0
2,0,0.13,DF,47,4,Michael Turner,0.13,Hull City,0.11,90,38,0,0.08,0.32,0.11,38,3,0,,1,"3,420",1.24,24,12,0
3,0,0.00,GK,0,0,Robert Green,0.00,West Ham United,0.00,90,38,0,0.00,0.00,0.00,38,0,0,eng ENG,0,"3,420",0.00,28,0,0
4,0,0.00,GK,0,0,Tim Howard,0.00,Everton,0.00,90,38,0,0.00,0.00,0.00,38,0,0,us USA,0,"3,420",0.00,29,0,0
5,0,0.00,GK,0,0,Mark Schwarzer,0.00,Fulham,0.00,90,38,0,0.00,0.00,0.00,38,0,0,au AUS,0,"3,420",0.00,35,0,0
6,0,0.00,GK,0,0,Pepe Reina,0.00,Liverpool,0.00,90,38,0,0.00,0.00,0.00,38,0,0,es ESP,0,"3,420",0.00,25,0,0
7,0,0.03,"DF,MF",25,0,Jamie Carragher,0.03,Liverpool,0.00,90,38,0,0.11,0.08,0.00,38,4,0,eng ENG,1,"3,400",0.66,30,3,0
8,0,0.00,DF,7,0,Aaron Hughes,0.00,Fulham,0.00,89,38,0,0.00,0.00,0.00,38,0,0,nir NIR,0,"3,395",0.19,28,0,0
9,0,0.00,GK,0,0,Brad Friedel,0.00,Aston Villa,0.00,89,38,0,0.05,0.00,0.00,38,1,1,us USA,0,"3,394",0.00,37,0,0
10,4,0.27,MF,64,5,Gareth Barry,0.16,Aston Villa,0.13,89,38,0,0.21,0.59,0.03,38,8,0,eng ENG,5,"3,383",1.70,27,22,4
11,0,0.37,FW,112,11,Kevin Davies,0.37,Bolton Wanderers,0.29,88,37,1,0.11,0.83,0.29,38,4,0,eng ENG,3,"3,361",3.00,31,31,0
12,0,0.38,FW,46,10,Peter Crouch,0.38,Portsmouth,0.27,88,38,0,0.08,1.07,0.27,38,3,0,eng ENG,4,"3,358",1.23,27,40,0
13,5,0.24,MF,49,5,Danny Murphy,0.11,Fulham,0.13,88,38,0,0.22,0.27,0.00,38,8,0,eng ENG,4,"3,341",1.32,31,10,5
14,0,0.08,DF,42,1,Maynor Figueroa,0.08,Wigan Athletic,0.03,88,38,0,0.11,0.19,0.03,38,4,0,hn HON,2,"3,341",1.13,25,7,0
15,0,0.05,DF,28,1,Brede Hangeland,0.05,Fulham,0.03,90,37,0,0.08,0.19,0.03,37,3,0,no NOR,1,"3,330",0.76,27,7,0
16,0,0.03,"MF,DF",32,0,Jlloyd Samuel,0.03,Bolton Wanderers,0.00,87,38,0,0.08,0.05,0.00,38,3,0,tt TRI,1,"3,321",0.87,27,2,0
17,0,0.00,"DF,MF",45,0,John Paintsil,0.00,Fulham,0.00,89,37,0,0.19,0.03,0.00,37,7,0,gh GHA,0,"3,290",1.23,27,1,0
18,0,0.22,DF,45,3,Grétar Steinsson,0.22,Bolton Wanderers,0.08,89,37,0,0.19,0.19,0.08,37,7,0,is ISL,5,"3,278",1.24,26,7,0
19,0,0.17,DF,40,3,Stephen Warnock,0.17,Blackburn Rovers,0.08,88,37,0,0.22,0.22,0.08,37,8,0,eng ENG,3,"3,271",1.10,26,8,0
20,2,0.61,MF,31,12,Frank Lampard,0.55,Chelsea,0.33,88,37,0,0.11,1.85,0.28,37,3,1,eng ENG,10,"3,257",0.86,30,67,2
21,0,0.11,MF,22,0,Stewart Downing,0.11,Middlesbrough,0.00,88,37,0,0.00,0.58,0.00,37,0,0,eng ENG,4,"3,254",0.61,24,21,2
22,0,0.00,GK,0,0,David James,0.00,Portsmouth,0.00,90,36,0,0.06,0.00,0.00,36,2,0,eng ENG,0,"3,240",0.00,37,0,0
23,0,0.08,"FW,MF,DF",18,1,Paul Konchesky,0.08,Fulham,0.03,90,36,0,0.14,0.11,0.03,36,5,0,eng ENG,2,"3,232",0.50,27,4,0
24,0,0.08,"MF,DF",34,0,Phil Neville,0.08,Everton,0.00,87,36,1,0.11,0.14,0.00,37,4,0,eng ENG,3,"3,227",0.95,31,5,0
25,0,0.03,DF,28,0,Matthew Upson,0.03,West Ham United,0.00,86,37,0,0.06,0.03,0.00,37,2,0,eng ENG,1,"3,195",0.79,29,1,0
26,0,0.17,DF,37,4,Joleon Lescott,0.17,Everton,0.11,89,35,1,0.14,0.28,0.11,36,5,0,eng ENG,2,"3,195",1.04,25,10,0
