,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,4,3.18,1.84,442,51,1.74,27,1.95,11.63,70,38,6.39,68,243,6,3.08,7
1,Aston Villa,4,2.03,1.18,448,32,1.08,32,1.89,11.79,45,38,4.39,70,167,2,1.92,6
2,Birmingham City,2,1.58,0.97,420,23,0.92,26,1.58,11.05,37,38,3.21,57,122,3,1.53,2
3,Blackburn Rovers,1,1.87,1.13,465,28,1.11,29,1.82,12.24,43,38,3.76,65,143,4,1.84,2
4,Blackpool,7,2.18,1.42,433,29,1.24,30,1.29,11.39,54,38,4.50,47,171,2,2.00,8
5,Bolton Wanderers,4,2.21,1.32,503,34,1.21,24,1.97,13.24,50,38,4.63,69,176,6,2.11,5
6,Chelsea,6,2.82,1.79,433,39,1.63,24,1.58,11.39,68,38,6.34,59,241,1,2.66,8
7,Everton,3,2.18,1.32,482,33,1.24,24,1.66,12.68,50,38,5.05,58,192,5,2.11,4
8,Fulham,2,2.11,1.26,477,32,1.21,29,1.39,12.55,48,38,4.79,52,182,1,2.05,3
9,Liverpool,7,2.32,1.53,458,30,1.34,30,1.74,12.05,58,38,5.37,64,204,2,2.13,8
10,Manchester City,8,2.39,1.47,481,35,1.26,27,2.05,12.66,56,38,4.79,73,182,5,2.18,9
11,Manchester United,3,3.53,1.97,420,59,1.89,29,1.61,11.05,75,38,5.74,58,218,3,3.45,5
12,Newcastle United,5,2.37,1.45,462,35,1.32,30,2.05,12.16,55,38,4.71,76,179,2,2.24,5
13,Stoke City,3,1.89,1.16,428,28,1.08,25,1.87,11.26,44,38,3.84,69,146,2,1.82,3
14,Sunderland,4,1.68,1.08,432,23,0.97,31,1.71,11.37,41,38,4.18,60,159,5,1.58,5
15,Tottenham Hotspur,5,2.32,1.42,382,34,1.29,28,1.39,10.05,54,38,5.32,51,202,2,2.18,5
16,West Bromwich Albion,4,2.34,1.37,425,37,1.26,28,1.61,11.18,52,38,4.82,54,183,7,2.24,6
17,West Ham United,5,1.63,1.08,447,21,0.95,35,1.58,11.76,41,38,4.63,59,176,1,1.50,6
18,Wigan Athletic,2,1.50,0.97,484,20,0.92,25,1.89,12.74,37,38,4.61,68,175,4,1.45,3
19,Wolverhampton Wanderers,3,1.95,1.18,473,29,1.11,30,1.71,12.45,45,38,3.82,63,145,2,1.87,3
