,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,19,90,.704,eng ENG,Tom Heaton,GK,28,26.3,7,1.39,0,53,179,38,10,"3,420",12,Burnley
1,38,15,89,.725,es ESP,Adrián,GK,27,21.1,12,1.25,0,47,171,38,8,"3,392",10,West Ham United
2,37,8,90,.719,es ESP,David de Gea,GK,23,29.7,20,0.98,0,36,128,37,11,"3,313",9,Manchester United
3,37,13,89,.746,pl POL,Łukasz Fabiański,GK,29,35.1,16,1.25,0,46,181,37,13,"3,308",8,Swansea City
4,36,7,90,.714,eng ENG,Joe Hart,GK,27,38.9,22,0.94,0,34,119,36,14,"3,240",7,Manchester City
5,35,12,90,.669,be BEL,Simon Mignolet,GK,26,40.0,17,1.20,1,43,130,36,14,"3,225",7,Liverpool
6,36,16,89,.645,ar ARG,Julián Speroni,GK,35,16.7,12,1.38,0,49,138,36,6,"3,204",8,Crystal Palace
7,36,22,88,.661,eng ENG,Robert Green,GK,34,13.9,7,1.84,0,65,192,36,5,"3,183",6,Queens Park Rangers
8,35,13,90,.667,ba BIH,Asmir Begović,GK,27,20.0,14,1.23,0,43,129,35,7,"3,150",8,Stoke City
9,35,11,88,.686,fr FRA,Hugo Lloris,GK,27,22.9,17,1.41,0,48,153,35,8,"3,063",6,Tottenham Hotspur
10,34,18,90,.676,us USA,Brad Guzan,GK,29,26.5,8,1.41,0,48,148,34,9,"3,060",8,Aston Villa
11,32,12,89,.589,us USA,Tim Howard,GK,35,21.9,11,1.40,0,44,107,32,7,"2,835",8,Everton
12,32,3,88,.709,be BEL,Thibaut Courtois,GK,22,37.5,19,0.96,0,30,103,32,12,"2,813",9,Chelsea
13,30,15,90,.641,nl NED,Tim Krul,GK,26,23.3,7,1.57,0,47,131,30,7,"2,700",7,Newcastle United
14,30,9,87,.741,eng ENG,Fraser Forster,GK,26,43.3,15,0.72,0,21,81,30,13,"2,623",5,Southampton
15,28,10,90,.764,ro ROU,Costel Pantilimon,GK,27,39.3,6,1.18,0,33,140,28,11,"2,520",12,Sunderland
