,season,tot_players,num_players
eng,1992,476,316.0
sco,1992,476,36.0
ie,1992,476,26.0
wal,1992,476,25.0
nan,1992,476,15.0
nir,1992,476,10.0
no,1992,476,8.0
jm,1992,476,4.0
dk,1992,476,4.0
nl,1992,476,3.0
au,1992,476,3.0
us,1992,476,3.0
se,1992,476,3.0
ca,1992,476,2.0
ru,1992,476,2.0
de,1992,476,2.0
zw,1992,476,2.0
mt,1992,476,1.0
tt,1992,476,1.0
cs,1992,476,1.0
bg,1992,476,1.0
pl,1992,476,1.0
is,1992,476,1.0
fr,1992,476,1.0
es,1992,476,1.0
ms,1992,476,1.0
kn,1992,476,1.0
ng,1992,476,1.0
il,1992,476,1.0
su,1992,476,2.0
cz,1992,476,1.0
eng,1993,470,305.0
sco,1993,470,32.0
ie,1993,470,26.0
wal,1993,470,25.0
nan,1993,470,14.0
nir,1993,470,12.0
no,1993,470,10.0
nl,1993,470,5.0
jm,1993,470,4.0
dk,1993,470,4.0
de,1993,470,4.0
us,1993,470,4.0
se,1993,470,3.0
au,1993,470,2.0
ru,1993,470,2.0
ca,1993,470,2.0
cs,1993,470,2.0
pl,1993,470,2.0
zw,1993,470,2.0
cz,1993,470,1.0
tt,1993,470,1.0
cy,1993,470,1.0
za,1993,470,1.0
my,1993,470,1.0
fr,1993,470,1.0
bg,1993,470,1.0
ms,1993,470,1.0
ng,1993,470,1.0
il,1993,470,1.0
su,1993,470,2.0
cz,1993,470,2.0
eng,1994,467,301.0
wal,1994,467,27.0
sco,1994,467,25.0
ie,1994,467,21.0
nir,1994,467,13.0
nan,1994,467,10.0
dk,1994,467,7.0
nl,1994,467,7.0
no,1994,467,6.0
jm,1994,467,6.0
au,1994,467,4.0
us,1994,467,3.0
za,1994,467,3.0
se,1994,467,3.0
ng,1994,467,3.0
de,1994,467,3.0
ro,1994,467,3.0
ru,1994,467,2.0
zw,1994,467,2.0
ca,1994,467,2.0
gh,1994,467,2.0
cz,1994,467,1.0
tt,1994,467,1.0
cs,1994,467,1.0
mt,1994,467,1.0
ch,1994,467,1.0
be,1994,467,1.0
nz,1994,467,1.0
fr,1994,467,1.0
uy,1994,467,1.0
bg,1994,467,1.0
kn,1994,467,1.0
my,1994,467,1.0
ms,1994,467,1.0
il,1994,467,1.0
su,1994,467,2.0
cz,1994,467,1.0
eng,1995,445,263.0
sco,1995,445,30.0
ie,1995,445,28.0
wal,1995,445,20.0
nir,1995,445,14.0
nl,1995,445,10.0
no,1995,445,7.0
au,1995,445,6.0
nan,1995,445,6.0
jm,1995,445,5.0
dk,1995,445,4.0
rs,1995,445,4.0
se,1995,445,4.0
us,1995,445,3.0
br,1995,445,3.0
de,1995,445,3.0
fr,1995,445,3.0
za,1995,445,3.0
be,1995,445,2.0
ro,1995,445,2.0
zw,1995,445,2.0
ru,1995,445,2.0
ng,1995,445,2.0
tt,1995,445,2.0
gh,1995,445,2.0
ge,1995,445,2.0
it,1995,445,1.0
fi,1995,445,1.0
mt,1995,445,1.0
hr,1995,445,1.0
cs,1995,445,1.0
pt,1995,445,1.0
co,1995,445,1.0
