,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
0,38.0,10.0,90.0,0.741,eng,David James,GK,29.0,23.7,13.0,1.13,0.0,43.0,166.0,38.0,9.0,3420.0,15.0,Aston Villa,0,0.0,0,0,0.0,0.0,90,38,0,0.0,0.0,0.0,38,0,0,0,3420,0.0,0,0,2000
1,38.0,9.0,90.0,0.764,nl,Sander Westerveld,GK,25.0,36.8,20.0,1.03,0.0,39.0,165.0,38.0,14.0,3420.0,9.0,Liverpool,0,0.0,0,0,0.0,0.0,90,38,0,0.0,0.0,0.0,38,0,0,0,3420,0.0,0,0,2000
2,36.0,11.0,90.0,0.728,eng,Richard Wright,GK,22.0,33.3,19.0,1.14,0.0,41.0,151.0,36.0,12.0,3240.0,6.0,Ipswich Town,0,0.0,0,0,0.0,0.0,90,36,0,0.0,0.0,0.0,36,0,0,0,3240,0.0,0,0,2000
3,35.0,13.0,90.0,0.7440000000000001,wal,Paul Jones,GK,33.0,40.0,14.0,1.23,0.0,43.0,168.0,35.0,14.0,3150.0,8.0,Southampton,0,0.0,0,0,0.0,0.0,90,35,0,0.0,0.0,0.0,35,0,0,0,3150,0.0,0,0,2000
4,35.0,14.0,89.0,0.738,sco,Neil Sullivan,GK,30.0,25.7,12.0,1.45,0.0,50.0,191.0,35.0,9.0,3108.0,8.0,Tottenham Hotspur,0,0.0,0,0,0.0,0.0,89,35,0,0.0,0.0,0.0,35,0,0,0,3108,0.0,0,0,2000
5,34.0,8.0,89.0,0.7809999999999999,dk,Thomas Sørensen,GK,24.0,38.2,14.0,0.95,0.0,32.0,146.0,34.0,13.0,3018.0,11.0,Sunderland,0,0.0,0,0,0.0,0.0,89,34,0,0.0,0.0,0.0,34,0,0,0,3018,0.0,0,0,2000
6,34.0,13.0,89.0,0.727,ie,Shay Given,GK,24.0,17.6,12.0,1.25,0.0,42.0,154.0,34.0,6.0,3015.0,8.0,Newcastle United,0,0.0,0,0,0.0,0.0,89,34,0,0.0,0.0,0.0,34,0,0,0,3015,0.0,0,0,2000
7,34.0,14.0,89.0,0.728,tt,Shaka Hislop,GK,31.0,23.5,9.0,1.22,0.0,41.0,151.0,34.0,8.0,3015.0,10.0,West Ham United,0,0.0,0,0,0.0,0.0,89,34,0,0.0,0.0,0.0,34,0,0,0,3015,0.0,0,0,2000
8,32.0,15.0,90.0,0.701,ee,Mart Poom,GK,28.0,31.3,7.0,1.79,1.0,59.0,197.0,33.0,10.0,2960.0,10.0,Derby County,0,0.0,0,0,0.0,0.0,90,32,1,0.0,0.0,0.0,33,0,0,0,2960,0.0,0,0,2000
9,32.0,15.0,90.0,0.6509999999999999,eng,Paul Gerrard,GK,27.0,18.8,10.0,1.63,0.0,52.0,149.0,32.0,6.0,2879.0,7.0,Everton,0,0.0,0,0,0.0,0.0,90,32,0,0.03,0.0,0.0,32,1,0,0,2879,0.0,0,0,2000
10,31.0,17.0,90.0,0.645,eng,Nicky Weaver,GK,21.0,19.4,5.0,1.74,0.0,54.0,152.0,31.0,6.0,2790.0,9.0,Manchester City,0,0.0,0,0,0.0,0.0,90,31,0,0.0,0.0,0.0,31,0,0,0,2790,0.0,0,0,2000
11,31.0,11.0,90.0,0.78,au,Mark Schwarzer,GK,27.0,22.6,7.0,1.13,0.0,35.0,159.0,31.0,7.0,2783.0,13.0,Middlesbrough,0,0.0,0,0,0.0,0.0,90,31,0,0.0,0.0,0.0,31,0,0,0,2783,0.0,0,0,2000
12,30.0,4.0,89.0,0.816,fr,Fabien Barthez,GK,29.0,46.7,21.0,0.61,0.0,18.0,98.0,30.0,14.0,2675.0,5.0,Manchester United,0,0.0,0,0,0.0,0.0,89,30,0,0.0,0.0,0.0,30,0,0,0,2675,0.0,0,0,2000
13,25.0,9.0,88.0,0.691,ie,Dean Kiely,GK,29.0,36.0,10.0,1.55,0.0,38.0,123.0,25.0,9.0,2205.0,6.0,Charlton Athletic,0,0.0,0,0,0.0,0.0,88,25,0,0.0,0.0,0.0,25,0,0,0,2205,0.0,0,0,2000
14,24.0,4.0,90.0,0.7090000000000001,eng,David Seaman,GK,36.0,45.8,15.0,0.96,0.0,23.0,79.0,24.0,11.0,2160.0,5.0,Arsenal,0,0.0,0,0,0.0,0.0,90,24,0,0.0,0.0,0.0,24,0,0,0,2160,0.0,0,0,2000
