squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,2,3.42,1.92,405,57,1.87,32,1.87,10.66,73,38,6.05,67,230,4,3.37,3,38,3420,34.2,10,21,1.29,0,1,90,49,135,0.637,38,7,13,2011
Aston Villa,3,1.66,0.97,415,26,0.89,27,1.89,10.92,37,38,3.84,70,146,2,1.58,3,38,3420,23.7,14,7,1.39,1,2,88,53,185,0.7140000000000001,39,17,9,2011
Blackburn Rovers,4,2.0,1.16,442,32,1.05,31,1.92,11.63,44,38,3.95,68,150,5,1.89,8,38,3420,7.9,23,8,2.05,0,3,90,78,190,0.589,38,7,3,2011
Bolton Wanderers,5,1.89,1.13,448,29,1.0,30,1.47,11.79,43,38,4.18,51,159,5,1.76,6,38,3420,7.9,22,10,2.03,0,2,90,77,233,0.67,38,6,3,2011
Chelsea,4,2.84,1.66,419,45,1.55,29,2.08,11.03,63,38,6.11,75,232,4,2.74,5,38,3420,26.3,10,19,1.21,0,3,90,46,161,0.7140000000000001,38,10,10,2011
Everton,5,2.08,1.24,452,32,1.11,29,1.55,11.89,47,38,4.37,58,166,1,1.95,5,38,3420,31.6,12,15,1.05,0,1,90,40,138,0.71,38,11,12,2011
Fulham,3,1.97,1.16,370,31,1.08,28,1.42,9.74,44,38,5.18,54,197,0,1.89,4,38,3420,28.9,14,14,1.34,0,2,90,51,200,0.745,38,10,11,2011
Liverpool,1,1.71,1.11,390,23,1.08,26,1.58,10.26,42,38,5.53,55,210,5,1.68,4,38,3412,31.6,14,14,1.06,1,3,87,40,137,0.708,39,10,12,2011
Manchester City,7,4.32,2.39,422,73,2.21,24,1.58,11.11,91,38,6.89,55,262,5,4.13,8,38,3420,44.7,5,28,0.76,0,1,90,29,133,0.782,38,5,17,2011
Manchester United,9,4.11,2.29,378,69,2.05,31,1.34,9.95,87,38,6.71,50,255,1,3.87,11,38,3420,52.6,5,28,0.87,0,3,90,33,159,0.792,38,5,20,2011
Newcastle United,2,2.29,1.34,405,36,1.29,26,1.82,10.66,51,38,4.13,67,157,2,2.24,3,38,3420,39.5,11,19,1.34,0,1,90,51,176,0.71,38,8,15,2011
Norwich City,2,2.24,1.37,399,33,1.32,27,1.63,10.5,52,38,4.5,59,171,3,2.18,2,38,3420,7.9,15,12,1.74,1,2,88,66,228,0.711,39,11,3,2011
Queens Park Rangers,2,1.74,1.08,405,25,1.03,34,1.71,10.66,41,38,4.11,56,156,9,1.68,2,38,3420,18.4,21,9,1.74,0,2,90,66,207,0.6809999999999999,38,7,7,2011
Stoke City,4,1.66,0.92,446,28,0.82,23,1.63,11.74,35,38,2.76,60,105,2,1.55,6,38,3420,23.7,15,11,1.39,1,2,88,53,177,0.701,39,12,9,2011
Sunderland,1,1.79,1.13,396,25,1.11,28,1.66,10.42,43,38,3.87,60,147,3,1.76,2,38,3420,31.6,15,11,1.21,1,3,88,46,170,0.7290000000000001,39,12,12,2011
Swansea City,5,1.76,1.13,313,24,1.0,25,1.13,8.24,43,38,3.92,41,149,2,1.63,6,38,3420,36.8,15,12,1.34,0,2,90,51,198,0.742,38,11,14,2011
Tottenham Hotspur,4,3.0,1.74,381,48,1.63,29,1.26,10.03,66,38,6.32,45,240,3,2.89,5,38,3420,36.8,9,20,1.08,0,1,90,41,163,0.748,38,9,14,2011
West Bromwich Albion,1,1.95,1.16,421,30,1.13,25,1.29,11.08,44,38,4.84,48,184,1,1.92,2,38,3420,26.3,17,13,1.37,0,2,90,52,171,0.696,38,8,10,2011
Wigan Athletic,5,1.66,1.08,468,22,0.95,24,1.87,12.32,41,38,4.24,68,161,3,1.53,7,38,3420,21.1,17,11,1.63,0,1,90,62,200,0.69,38,10,8,2011
Wolverhampton Wanderers,3,1.71,1.05,364,25,0.97,32,1.82,9.58,40,38,4.0,65,152,4,1.63,4,38,3420,10.5,23,5,2.16,1,3,88,82,271,0.6970000000000001,39,10,4,2011
