,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season,Pts,my_games
10,Manchester City,3,2.26,1.26,,42,1.19,23,1.07,,53,42,5.4,44,227,1,2.19,4,42,3780,26.2,16,15,1.21,1,3,88,51,188,0.7290000000000001,43,13,11,1992,58,44
18,Sheffield Wednesday,3,2.24,1.29,,40,1.21,24,0.74,,54,42,5.14,30,216,1,2.17,3,42,3780,21.4,13,15,1.21,0,2,90,51,178,0.713,42,15,9,1992,60,43
2,Blackburn Rovers,3,2.5,1.5,,42,1.43,21,0.67,,63,42,5.83,28,245,0,2.43,4,54,4860,33.3,16,27,1.09,0,2,90,59,253,0.767,54,11,18,1993,92,54
10,Manchester United,3,3.19,1.88,,55,1.81,24,0.79,,79,42,5.9,31,248,2,3.12,3,48,4410,35.4,7,31,0.96,1,2,90,47,187,0.7490000000000001,49,12,17,1993,105,50
11,Newcastle United,9,3.1,1.9,,50,1.64,23,0.45,,80,42,5.4,18,227,1,2.83,10,42,3818,35.7,11,24,0.97,1,3,89,41,200,0.795,43,8,15,1993,80,43
13,Oldham Athletic,1,1.55,0.95,,25,0.93,24,0.81,,40,42,3.95,30,166,4,1.52,2,36,3330,16.7,17,7,1.59,1,3,90,59,187,0.684,37,12,6,1993,33,36
15,Sheffield United,0,1.6,0.98,,26,0.98,25,1.0,,41,42,4.21,38,177,4,1.6,0,42,3940,31.0,9,8,1.37,3,2,88,60,192,0.688,45,18,13,1993,42,35
17,Southampton,7,1.9,1.19,,30,1.02,25,0.95,,50,42,4.86,39,204,1,1.74,7,30,2700,20.0,15,10,1.43,0,2,90,43,144,0.701,30,5,6,1993,35,30
18,Swindon Town,7,1.74,1.07,,28,0.9,24,0.93,,45,42,4.5,38,189,1,1.57,8,40,3700,10.0,21,5,2.26,3,3,86,93,239,0.611,43,15,4,1993,30,41
14,Norwich City,2,1.38,0.74,,27,0.69,24,1.48,,31,42,3.45,61,145,1,1.33,3,42,3780,23.8,18,10,1.26,0,3,90,53,194,0.727,42,13,10,1994,43,41
7,Leeds United,2,1.74,1.0,,28,0.95,28,1.63,,38,38,4.89,57,186,5,1.68,3,38,3446,26.3,20,12,1.51,4,4,82,58,202,0.713,42,7,10,1995,43,39
12,Newcastle United,3,3.21,1.79,,54,1.71,18,1.32,,68,38,5.66,50,215,0,3.13,4,37,3320,35.1,8,24,1.0,1,2,87,37,160,0.769,38,6,13,1995,78,38
1,Aston Villa,4,2.05,1.21,,32,1.11,18,1.32,,46,38,5.71,50,217,0,1.95,5,38,3420,39.5,12,17,0.89,0,2,90,34,163,0.7909999999999999,38,10,15,1996,61,39
3,Chelsea,4,2.71,1.47,,47,1.37,24,2.13,,56,38,5.66,80,215,1,2.61,5,36,3510,25.0,11,16,1.44,3,4,90,56,202,0.723,39,10,9,1996,58,37
13,Nottingham Forest,2,1.39,0.82,,22,0.76,25,1.84,,31,38,4.87,70,185,0,1.34,3,42,3780,21.4,17,6,1.6,0,4,90,67,225,0.7020000000000001,42,19,9,1996,37,42
15,Southampton,6,2.21,1.24,,37,1.08,27,2.03,,47,38,5.29,73,201,4,2.05,7,39,3584,28.2,17,11,1.43,1,4,90,57,218,0.7390000000000001,40,12,11,1996,45,40
3,Blackburn Rovers,2,2.87,1.45,,54,1.39,19,1.58,,55,38,6.05,56,230,4,2.82,2,48,4320,31.3,17,18,1.48,0,4,90,71,245,0.71,48,11,15,1997,65,46
6,Coventry City,5,2.05,1.21,,32,1.08,20,1.95,,46,38,5.18,69,197,5,1.92,7,39,3510,33.3,10,12,1.13,0,2,90,44,192,0.7709999999999999,39,16,13,1997,52,38
10,Leeds United,1,2.5,1.37,,43,1.34,19,2.13,,52,38,5.26,76,200,5,2.47,2,38,3420,28.9,14,17,1.5,0,2,90,57,176,0.6759999999999999,38,8,11,1997,59,39
13,Manchester United,3,3.29,1.79,,57,1.71,23,1.63,,68,38,5.84,61,222,1,3.21,6,39,3510,51.3,7,23,0.67,0,3,90,26,138,0.812,39,8,20,1997,77,38
14,Newcastle United,1,1.5,0.92,,25,0.82,24,1.66,,35,38,4.87,60,185,3,1.47,2,39,3510,23.1,16,11,1.13,0,3,90,44,154,0.7140000000000001,39,11,9,1997,44,38
2,Blackburn Rovers,2,1.63,0.89,,28,0.84,29,2.13,,34,38,4.66,76,177,5,1.58,4,40,3600,30.0,17,8,1.3,1,4,88,52,196,0.735,41,15,12,1998,39,40
4,Chelsea,3,2.47,1.47,,38,1.39,26,2.47,,56,38,5.55,90,211,4,2.39,4,37,3330,40.5,3,20,0.81,1,3,88,30,136,0.779,38,15,15,1998,75,38
16,Southampton,1,1.63,0.92,,27,0.89,27,1.92,,35,38,4.29,70,163,3,1.61,1,39,3478,23.1,19,11,1.66,3,3,83,64,208,0.6920000000000001,42,8,9,1998,41,38
17,Tottenham Hotspur,2,2.13,1.26,,33,1.21,26,1.92,,48,38,5.26,67,200,6,2.08,3,38,3420,31.6,13,11,1.32,0,3,90,50,179,0.721,38,15,12,1998,48,39
18,West Ham United,2,2.45,1.34,558.0,42,1.29,26,2.05,14.68,51,38,5.79,70,220,8,2.39,2,39,3483,25.6,13,15,1.37,2,5,85,53,193,0.725,41,10,10,1999,55,38
2,Bradford City,3,1.13,0.68,487.0,17,0.61,27,1.24,12.82,26,38,3.24,46,123,1,1.05,5,41,3583,14.6,22,6,1.83,0,3,87,73,275,0.735,41,13,6,2000,31,41
13,Manchester United,2,3.61,2.03,430.0,60,1.97,27,1.16,11.32,77,38,6.61,41,251,3,3.55,3,38,3420,42.1,6,27,0.82,5,4,80,31,140,0.779,43,8,16,2000,89,41
14,Middlesbrough,3,1.79,1.13,572.0,25,1.05,26,2.32,15.05,43,38,4.61,83,175,5,1.71,3,35,3150,20.0,14,8,1.17,1,2,88,41,180,0.772,36,13,7,2000,37,35
18,Tottenham Hotspur,3,2.03,1.21,523.0,31,1.13,28,1.29,13.76,46,38,4.87,47,185,2,1.95,4,38,3420,28.9,15,13,1.39,1,2,88,53,208,0.745,39,9,11,2000,48,37
9,Ipswich Town,1,1.92,1.08,471.0,32,1.05,25,1.16,12.39,41,38,6.08,43,231,1,1.89,3,34,3150,23.5,20,9,1.83,1,3,90,64,224,0.7140000000000001,35,9,8,2001,36,38
12,Liverpool,1,2.97,1.66,439.0,51,1.61,24,1.16,11.55,63,38,6.89,42,262,3,2.95,3,37,3330,48.6,6,24,0.81,1,3,88,30,156,0.8079999999999999,38,8,18,2001,80,38
11,Liverpool,8,2.34,1.39,479.0,36,1.18,24,1.24,12.61,53,38,5.82,46,221,1,2.13,10,36,3240,33.3,9,15,0.97,1,3,88,35,139,0.748,37,12,12,2003,57,36
17,Southampton,2,1.84,1.13,504.0,27,1.08,27,1.47,13.26,43,38,4.61,53,175,3,1.79,2,30,2700,26.7,13,9,1.3,0,2,90,39,179,0.782,30,8,8,2003,35,30
19,Wolverhampton Wanderers,1,1.68,1.03,520.0,25,1.0,27,1.82,13.68,39,38,4.66,67,177,2,1.66,4,48,4320,25.0,22,11,1.77,0,3,90,85,283,0.7,48,15,12,2003,48,48
17,Southampton,3,1.92,1.16,431.0,30,1.05,28,1.11,11.34,44,38,4.55,45,173,2,1.84,3,38,3420,7.9,19,6,1.79,1,4,88,68,170,0.6,39,14,3,2004,32,39
5,Charlton Athletic,4,1.84,1.08,500.0,29,0.97,27,1.21,13.16,41,38,4.97,44,189,2,1.74,4,35,3150,34.3,15,12,1.34,0,2,90,47,211,0.777,35,8,12,2005,44,35
7,Everton,1,1.5,0.84,538.0,25,0.82,23,1.89,14.16,32,38,5.42,65,206,7,1.47,3,44,3879,29.5,20,14,1.35,2,4,84,58,231,0.7490000000000001,46,9,13,2005,51,43
14,Portsmouth,2,1.53,0.95,499.0,22,0.89,28,1.47,13.13,36,38,5.97,55,227,1,1.47,2,35,3150,14.3,18,10,1.74,0,2,90,61,194,0.6859999999999999,35,4,5,2005,34,32
4,Chelsea,4,2.84,1.66,419.0,45,1.55,29,2.08,11.03,63,38,6.11,75,232,4,2.74,5,38,3420,26.3,10,19,1.21,0,3,90,46,161,0.7140000000000001,38,10,10,2011,67,39
12,Queens Park Rangers,2,1.74,1.08,405.0,25,1.03,34,1.71,10.66,41,38,4.11,56,156,9,1.68,2,38,3420,18.4,21,9,1.74,0,2,90,66,207,0.6809999999999999,38,7,7,2011,34,37
0,Arsenal,3,3.05,1.79,326.0,48,1.71,27,1.5,8.58,68,38,6.68,53,254,4,2.97,3,37,3330,43.2,7,23,1.11,0,1,90,41,147,0.721,37,7,16,2013,76,37
